Name,Type,District,Latitude,Longitude,Review,Telephone,Operation Hour,Entrance Fee,Category
Pasar Siti Khadijah,Visit,Kota Bharu,6.130028,102.23925,4.1,09-7477520,6.00am-7.00pm,Not Available,Shopping
Pasar Malam Wakaf Che Yeh,Visit,Kota Bharu,6.087083,102.235917,4,Not Available,5.00pm-3.00am,Not Available,Shopping
Bazar Tok Guru,Visit,Kota Bharu,6.123194,102.239444,4,Not Available,10.00am-6.00pm,Not Available,Shopping
Kampung Kraftangan,Visit,Kota Bharu,6.132222,102.237722,4.2,09-7443949,8.30am-4.45pm (kecuali Jumaat),RM 1.00 (Malaysian) RM 2.00 (Non-Malaysian),Museum
Muzium Perang Bank Kerapu,Visit,Kota Bharu,6.131806,102.235583,3.5,Not Available,8.30am-4.45pm (kecuali Jumaat),RM 1.00 (Malaysian) RM 2.00 (Non-Malaysian),Museum
Muzium Adat Istiadat Istana Jahar,Visit,Kota Bharu,6.13125,102.235583,4.1,09-7482266,8.30am-4.45pm (kecuali Jumaat),RM 1.50 (Malaysian) RM 3.00 (Non-Malaysian),Museum
Muzium DiRaja Istana Batu,Visit,Kota Bharu,6.131722,102.236917,4.2,09-7487737,8.30am-4.45pm (kecuali Jumaat),RM 1.00 (Malaysian) RM 2.00 (Non-Malaysian),Museum
Muzium Negeri Kelantan,Visit,Kota Bharu,6.132028,102.238333,3.9,09-7482266,8.30am-4.45pm (kecuali Jumaat),RM 1.00 (Malaysian) RM 2.00 (Non-Malaysian),Museum
Masjid Muhammadi,Visit,Kota Bharu,6.13225,102.236333,4.7,Not Available,Not Available,Not Available,Museum
Masjid Kampung Laut,Visit,Kota Bharu,6.027306,102.241139,4.5,Not Available,Not Available,Not Available,Islamic Arts
Menara Tinjau Padang Merdeka,Visit,Kota Bharu,6.131417,102.2355,3.9,09-7483344,Not Available,Not Available,Islamic Arts
Gelanggang Seni,Visit,Kota Bharu,6.122417,102.241139,4,09-7485534,3.30pm-5.30pm (Sabtu-Isnin-Rabu) 9.00pm-11.00pm (Sabtu),Not Available,Attractions
Pantai Cahaya Bulan,Visit,Kota Bharu,6.197028,102.272806,3.8,Not Available,Not Available,Not Available,Beach
Kawasan Bebas Cukai Rantau Panjang,Visit,Pasir Mas,6.018583,101.975833,3.9,09-7909250,9.00am-8.00pm,Not Available,Shopping
Masjid Beijing,Visit,Pasir Mas,6.014528,101.982583,4.6,Not Available,Not Available,Not Available,Islamic Arts
Kawasan Bebas Cukai Pengkalan Kubor,Visit,Tumpat,6.231778,102.091667,3.9,09-7252224,9.00am-5.30pm,Not Available,Shopping
